Name	Native	Status	Population
Si Songkhram	อำเภอศรีสงคราม	District	62,239	58,440
That Phanom	อำเภอธาตุพนม	District	81,101	65,771
Tha Uthen	อำเภอท่าอุเทน	District	53,859	45,585
Wang Yang	อำเภอวังยาง	District	13,103	12,231
Nakhon Ratchasima	จังหวัดนครราชสีมา	Province	2,556,260	2,525,975
Ban Lueam	อำเภอบ้านเหลื่อม	District	22,170	15,872
Bua Lai	อำเภอบัวลาย	District	25,061	18,621
Bua Yai	อำเภอบัวใหญ่	District	86,776	66,953
Chakkarat	อำเภอจักราช	District	66,615	53,643
Chaloem Phra Kiat	อำเภอเฉลิมพระเกียรติ	District	33,151	28,304
Chok Chai	อำเภอโชคชัย	District	73,663	84,212
Chum Phuang	อำเภอชุมพวง	District	81,440	61,742
Dan Khun Thot	อำเภอด่านขุนทด	District	126,253	113,852
Huai Thalaeng	อำเภอห้วยแถลง	District	78,581	56,494
Kaeng Sanam Nang	อำเภอแก้งสนามนาง	District	37,884	28,236
Kham Sakaesaeng	อำเภอขามสะแกแสง	District	43,365	33,904
Kham Thale So	อำเภอขามทะเลสอ	District	28,306	25,438
Khon Buri	อำเภอครบุรี	District	94,901	91,134
Khong	อำเภอคง	District	81,484	58,447
Lam Thamenchai	อำเภอลำทะเมนชัย	District	32,211	25,802
Mueang Nakhon Ratchasima	อำเภอเมืองนครราชสีมา	District	430,053	596,216
Mueang Yang	อำเภอเมืองยาง	District	28,501	20,537
Non Daeng	อำเภอโนนแดง	District	26,405	17,547
Nong Bun Mak	อำเภอหนองบุญมาก	District	56,287	45,724
Non Sung	อำเภอโนนสูง	District	130,064	100,377
Non Thai	อำเภอโนนไทย	District	78,539	62,012
Pak Chong	อำเภอปากช่อง	District	175,541	253,946
Pak Thong Chai	อำเภอปักธงชัย	District	117,999	107,257
Phimai	อำเภอพิมาย	District	130,296	111,419
Phra Thong Kham	อำเภอพระทองคำ	District	44,232	35,188
Prathai	อำเภอประทาย	District	76,703	57,432
Sida	อำเภอสีดา	District	24,540	18,286
Sikhio	อำเภอสีคิ้ว	District	120,097	123,636
Soeng Sang	อำเภอเสิงสาง	District	64,388	60,471
Sung Noen	อำเภอสูงเนิน	District	75,990	87,548
Thepharak	อำเภอเทพารักษ์	District	23,279	21,007
Wang Nam Khiao	อำเภอวังน้ำเขียว	District	41,485	44,728
Nakhon Sawan	จังหวัดนครสวรรค์	Province	1,090,379	992,749
Banphot Phisai	อำเภอบรรพตพิสัย	District	91,563	80,429
Chum Saeng	อำเภอชุมแสง	District	73,001	62,775
Chum Ta Bong	อำเภอชุมตาบง	District	17,146	16,207
Kao Liao	อำเภอเก้าเลี้ยว	District	34,515	33,973
