国コード	第二行政区画コード	日本語表記	英語表記
JP	07522	小野町	ono-machi
JP	07541	広野町	hirono-machi
JP	07542	楢葉町	naraha-machi
JP	07543	富岡町	tomioka-machi
JP	07544	川内村	kawauchi-mura
JP	07545	大熊町	okuma-machi
JP	07546	双葉町	futaba-machi
JP	07547	浪江町	namie-machi
JP	07548	葛尾村	katsurao-mura
JP	07561	新地町	shinchi-machi
JP	07564	飯舘村	iitate-mura
JP	08000	茨城
JP	08201	水戸市	mito-shi
JP	08202	日立市	hitachi-shi
JP	08203	土浦市	tsuchiura-shi
JP	08204	古河市	koga-shi
JP	08205	石岡市	ishioka-shi
JP	08207	結城市	yuki-shi
JP	08208	龍ケ崎市	ryugasaki-shi
JP	08210	下妻市	shimotsuma-shi
JP	08211	常総市	joso-shi
JP	08212	常陸太田市	hitachiota-shi
JP	08214	高萩市	takahagi-shi
JP	08215	北茨城市	kitaibaraki-shi
JP	08216	笠間市	kasama-shi
JP	08217	取手市	toride-shi
JP	08219	牛久市	ushiku-shi
JP	08220	つくば市	tsukuba-shi
JP	08221	ひたちなか市	hitachinaka-shi
JP	08222	鹿嶋市	kashima-shi
JP	08223	潮来市	itako-shi
JP	08224	守谷市	moriya-shi
JP	08225	常陸大宮市	hitachiomiya-shi
JP	08226	那珂市	naka-shi
JP	08227	筑西市	chikusei-shi
JP	08228	坂東市	bando-shi
JP	08229	稲敷市	inashiki-shi
JP	08230	かすみがうら市	kasumigaura-shi
JP	08231	桜川市	sakuragawa-shi
JP	08232	神栖市	kamisu-shi
JP	08233	行方市	namegata-shi
JP	08234	鉾田市	hokota-shi
JP	08235	つくばみらい市	tsukubamirai-shi
JP	08236	小美玉市	omitama-shi
JP	08302	茨城町	ibaraki-machi
JP	08309	大洗町	oarai-machi
JP	08310	城里町	shirosato-machi
JP	08341	東海村	tokai-mura
JP	08364	大子町	daigo-machi
JP	08442	美浦村	miho-mura
JP	08443	阿見町	ami-machi
JP	08447	河内町	kawachi-machi
JP	08521	八千代町	yachiyo-machi
JP	08542	五霞町	goka-machi
JP	08546	境町	sakai-machi
JP	08564	利根町	tone-machi
JP	09000	栃木
JP	09201	宇都宮市	utsunomiya-shi
JP	09202	足利市	ashikaga-shi
JP	09203	栃木市	tochigi-shi
JP	09204	佐野市	sano-shi
JP	09205	鹿沼市	kanuma-shi
JP	09206	日光市	nikko-shi
JP	09208	小山市	oyama-shi
JP	09209	真岡市	moka-shi
JP	09210	大田原市	otawara-shi
JP	09211	矢板市	yaita-shi
JP	09213	那須塩原市	nasushiobara-shi
JP	09214	さくら市	sakura-shi
JP	09215	那須烏山市	nasukarasuyama-shi
JP	09216	下野市	shimotsuke-shi
JP	09301	上三川町	kaminokawa-machi
JP	09321	西方町	nishikata-machi
JP	09341	二宮町	ninomiya-machi
JP	09342	益子町	mashiko-machi
JP	09343	茂木町	motegi-machi
JP	09344	市貝町	ichikai-machi
JP	09345	芳賀町	haga-machi
JP	09361	壬生町	mibu-machi
JP	09364	野木町	nogi-machi
JP	09365	大平町	ohira-machi
JP	09366	藤岡町	fujioka-machi
JP	09367	岩舟町	iwafune-machi
JP	09368	都賀町	tsuga-machi
JP	09384	塩谷町	shioya-machi
JP	09386	高根沢町	takanezawa-machi
JP	09407	那須町	nasu-machi
JP	09411	那珂川町	nakagawa-machi
JP	10000	群馬
JP	10201	前橋市	maebashi-shi
JP	10202	高崎市	takasaki-shi
JP	10203	桐生市	kiryu-shi
JP	10204	伊勢崎市	isesaki-shi
JP	10205	太田市	ota-shi
JP	10206	沼田市	numata-shi
JP	10207	館林市	tatebayashi-shi
JP	10208	渋川市	shibukawa-shi
JP	10209	藤岡市	fujioka-shi
JP	10210	富岡市	tomioka-shi
JP	10211	安中市	annaka-shi
JP	10212	みどり市	midori-shi
JP	10303	富士見村	fujimi-mura
JP	10344	榛東村	shinto-mura
JP	10345	吉岡町	yoshioka-machi
JP	10363	吉井町	yoshii-machi
JP	10366	上野村	ueno-mura
JP	10367	神流町	kanna-machi
JP	10382	下仁田町	shimonita-machi
JP	10383	南牧村	nanmoku-mura
JP	10384	甘楽町	kanra-machi
JP	10421	中之条町	nakanojo-machi
JP	10424	長野原町	naganohara-machi
JP	10425	嬬恋村	tsumagoi-mura
JP	10426	草津町	kusatsu-machi
JP	10427	六合村	kuni-mura
JP	10428	高山村	takayama-mura
JP	10429	東吾妻町	higashiagatsuma-machi
JP	10443	片品村	katashina-mura
JP	10444	川場村	kawaba-mura
JP	10448	昭和村	showa-mura
JP	10449	みなかみ町	minakami-machi
JP	10464	玉村町	tamamura-machi
JP	10521	板倉町	itakura-machi
JP	10522	明和町	meiwa-machi
JP	10523	千代田町	chiyoda-machi
JP	10524	大泉町	oizumi-machi
JP	10525	邑楽町	ora-machi
JP	11000	埼玉
JP	11100	さいたま市	saitama-shi
JP	11101	さいたま市西区	saitama-shi nishi-ku
JP	11102	さいたま市北区	saitama-shi kita-ku
JP	11103	さいたま市大宮区	saitama-shi omiya-ku
JP	11104	さいたま市見沼区	saitama-shi minuma-ku
JP	11105	さいたま市中央区	saitama-shi chuo-ku
JP	11106	さいたま市桜区	saitama-shi sakura-ku
JP	11107	さいたま市浦和区	saitama-shi urawa-ku
JP	11108	さいたま市南区	saitama-shi minami-ku
JP	11109	さいたま市緑区	saitama-shi midori-ku
JP	11110	さいたま市岩槻区	saitama-shi iwatsuki-ku
JP	11201	川越市	kawagoe-shi
JP	11202	熊谷市	kumagaya-shi
JP	11203	川口市	kawaguchi-shi
JP	11206	行田市	gyoda-shi
JP	11207	秩父市	chichibu-shi
JP	11208	所沢市	tokorozawa-shi
JP	11209	飯能市	hanno-shi
JP	11210	加須市	kazo-shi
JP	11211	本庄市	honjo-shi
JP	11212	東松山市	higashimatsuyama-shi
JP	11214	春日部市	kasukabe-shi
JP	11215	狭山市	sayama-shi
JP	11216	羽生市	hanyu-shi
JP	11217	鴻巣市	konosu-shi
JP	11218	深谷市	fukaya-shi
JP	11219	上尾市	ageo-shi
JP	11221	草加市	soka-shi
JP	11222	越谷市	koshigaya-shi
JP	11223	蕨市	warabi-shi
JP	11224	戸田市	toda-shi
JP	11225	入間市	iruma-shi
JP	11226	鳩ヶ谷市	hatogaya-shi
JP	11227	朝霞市	asaka-shi
JP	11228	志木市	shiki-shi
JP	11229	和光市	wako-shi
JP	11230	新座市	niiza-shi
JP	11231	桶川市	okegawa-shi
JP	11232	久喜市	kuki-shi
JP	11233	北本市	kitamoto-shi
JP	11234	八潮市	yashio-shi
JP	11235	富士見市	fujimi-shi
JP	11237	三郷市	misato-shi
JP	11238	蓮田市	hasuda-shi
JP	11239	坂戸市	sakado-shi
JP	11240	幸手市	satte-shi
JP	11241	鶴ヶ島市	tsurugashima-shi
JP	11242	日高市	hidaka-shi
JP	11243	吉川市	yoshikawa-shi
JP	11245	ふじみ野市	fujimino-shi
JP	11246	白岡市	shiraoka-shi
JP	11301	伊奈町	ina-machi
JP	11324	三芳町	miyoshi-machi
JP	11326	毛呂山町	moroyama-machi
JP	11327	越生町	ogose-machi
JP	11341	滑川町	namegawa-machi
JP	11342	嵐山町	ranzan-machi
JP	11343	小川町	ogawa-machi
JP	11346	川島町	kawajima-machi
JP	11347	吉見町	yoshimi-machi
JP	11348	鳩山町	hatoyama-machi
JP	11349	ときがわ町	tokigawa-machi
JP	11361	横瀬町	yokoze-machi
JP	11362	皆野町	minano-machi
JP	11363	長瀞町	nagatoro-machi
JP	11365	小鹿野町	ogano-machi
JP	11369	東秩父村	higashichichibu-mura
JP	11381	美里町	misato-machi
JP	11383	神川町	kamikawa-machi
JP	11385	上里町	kamisato-machi
JP	11408	寄居町	yorii-machi
JP	11421	騎西町	kisai-machi
JP	11424	北川辺町	kitakawabe-machi
JP	11425	大利根町	otone-machi
JP	11442	宮代町	miyashiro-machi
JP	11445	白岡町	shiraoka-machi
JP	11446	菖蒲町	shobu-machi
JP	11461	栗橋町	kurihashi-machi
JP	11462	鷲宮町	washimiya-machi
JP	11464	杉戸町	sugito-machi
JP	11465	松伏町	matsubushi-machi
JP	12000	千葉
JP	12100	千葉市	chiba-shi
JP	12101	千葉市中央区	chiba-shi chuo-ku
JP	12102	千葉市花見川区	chiba-shi hanamigawa-ku
JP	12103	千葉市稲毛区	chiba-shi inage-ku
JP	12104	千葉市若葉区	chiba-shi wakaba-ku
JP	12105	千葉市緑区	chiba-shi midori-ku
JP	12106	千葉市美浜区	chiba-shi mihama-ku
JP	12202	銚子市	choshi-shi
JP	12203	市川市	ichikawa-shi
JP	12204	船橋市	funabashi-shi
JP	12205	館山市	tateyama-shi
JP	12206	木更津市	kisaradhu-shi
JP	12207	松戸市	matsudo-shi
JP	12208	野田市	noda-shi
JP	12210	茂原市	mobara-shi
JP	12211	成田市	narita-shi
JP	12212	佐倉市	sakura-shi
JP	12213	東金市	togane-shi
JP	12215	旭市	asahi-shi
JP	12216	習志野市	narashino-shi
JP	12217	柏市	kashiwa-shi
JP	12218	勝浦市	katsura-shi
JP	12219	市原市	ichihara-shi
JP	12220	流山市	nagareyama-shi
JP	12221	八千代市	yachiyo-shi
JP	12222	我孫子市	abiko-shi
JP	12223	鴨川市	kamogawa-shi
JP	12224	鎌ケ谷市	kamagaya-shi
JP	12225	君津市	kimitsu-shi
JP	12226	富津市	futtsu-shi
JP	12227	浦安市	urayasu-shi
JP	12228	四街道市	yotsukaido-shi
JP	12229	袖ケ浦市	sodegaura-shi
JP	12230	八街市	yachimata-shi
JP	12231	印西市	inzai-shi
JP	12232	白井市	shiroi-shi
JP	12233	富里市	tomisato-shi
JP	12234	南房総市	minamiboso-shi
JP	12235	匝瑳市	sosa-shi
JP	12236	香取市	katori-shi
JP	12237	山武市	sanmu-shi
JP	12238	いすみ市	isumi-shi
JP	12239	大綱白里市	oamishirasato-shi
JP	12322	酒々井町	shisui-machi
JP	12325	印旛村	inba-mura
JP	12328	本埜村	motono-mura
JP	12329	栄町	sakae-machi
JP	12342	神崎町	kozaki-machi
JP	12347	多古町	tako-machi
JP	12349	東庄町	tonosho-machi
JP	12402	大網白里町	oamishirasato-machi
JP	12403	九十九里町	kujukuri-machi
JP	12409	芝山町	shibayama-machi
JP	12410	横芝光町	yokoshibahikari-machi
JP	12421	一宮町	ichinomiya-machi
JP	12422	睦沢町	mutsuzawa-machi
JP	12423	長生村	chosei-mura
JP	12424	白子町	shirako-machi
JP	12426	長柄町	nagara-machi
JP	12427	長南町	chonan-machi
JP	12441	大多喜町	otaki-machi
JP	12443	御宿町	onjuku-machi
JP	12463	鋸南町	kyonan-machi
JP	13000	東京
JP	13101	千代田区	chiyoda-ku
JP	13102	中央区	chuo-ku
JP	13103	港区	minato-ku
JP	13104	新宿区	shinjuku-ku
JP	13105	文京区	bunkyo-ku
JP	13106	台東区	taito-ku
JP	13107	墨田区	sumida-ku
JP	13108	江東区	koto-ku
JP	13109	品川区	shinagawa-ku
JP	13110	目黒区	meguro-ku
JP	13111	大田区	ota-ku
JP	13112	世田谷区	setagaya-ku
JP	13113	渋谷区	shibuya-ku
JP	13114	中野区	nakano-ku
