MB_CODE_2016,LGA_CODE_2016,LGA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
80056539300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0791
80008441000,89399,Unincorporated ACT,8,Australian Capital Territory,0.016
80008470000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0066
80008550000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0364
80056501300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0438
80008710000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0422
80008730000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0416
80008650000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0574
80008490000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0427
80011560000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0155
80011530000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0135
80056541400,89399,Unincorporated ACT,8,Australian Capital Territory,0.0726
80011540000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0128
80011610000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0118
80011590000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0393
80011580000,89399,Unincorporated ACT,8,Australian Capital Territory,0.033
80050300000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0106
80011290000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0058
